Time,EMG_value,Yaw,Roll,Pitch
0,0,0.0,0.0,0.0
100,601,-20.05,-102.56,48.7
200,431,-20.63,-103.13,48.13
300,99,-25.78,-100.84,49.27
400,459,-35.52,-97.4,51.57
500,459,-35.52,-97.4,51.57
600,1407,-47.56,-99.69,52.71
700,1269,-52.71,-116.88,52.14
800,1882,-56.15,-126.05,49.85
900,2704,-61.31,-134.07,46.41
1000,2430,-62.45,-128.92,48.13
1100,2010,-62.45,-111.73,50.42
1200,926,-60.73,-96.26,52.14
1300,2165,-59.59,-85.37,53.86
1400,1511,-57.87,-59.59,57.3
1500,1731,-56.72,-48.7,58.44
1600,564,-54.43,-40.11,59.59
1700,1533,-53.29,-40.11,59.01
1800,1389,-56.15,-48.13,57.3
1900,2619,-59.59,-60.73,53.86
2000,2793,-61.31,-73.34,50.99
2100,2165,-62.45,-91.1,50.42
2200,2905,-63.6,-108.86,49.85
2300,3206,-68.18,-123.76,46.98
2400,1644,-69.33,-127.77,45.84
2500,2988,-70.47,-124.9,45.84
2600,1969,-68.75,-119.75,45.84
2700,3228,-64.74,-97.4,49.27
2800,2315,-62.45,-85.94,51.57
2900,2064,-60.16,-77.35,53.29
3000,992,-57.3,-60.16,56.15
3100,2302,-53.86,-46.98,57.87
3200,1196,-52.14,-41.83,58.44
3300,1201,-52.14,-40.68,58.44
3400,1925,-55.58,-46.41,56.15
3500,1925,-55.58,-46.41,56.15
3600,1678,-61.31,-71.62,52.14
3700,1139,-63.6,-81.36,50.42
3800,3564,-67.04,-94.54,49.27
3900,3454,-68.18,-105.42,48.13
4000,2177,-73.34,-118.6,45.84
4100,2626,-77.35,-123.19,45.26
4200,2449,-77.35,-124.9,45.26
4300,1539,-76.2,-123.19,44.69
4400,1733,-73.91,-115.74,44.69
4500,3100,-71.05,-96.26,46.98
4600,1524,-66.46,-76.78,49.85
4700,2012,-66.46,-72.19,50.99
4800,893,-61.31,-50.42,55.0
4900,2469,-59.59,-41.83,56.15
5000,1872,-59.01,-39.53,56.72
5100,998,-59.59,-43.54,55.58
5200,1931,-63.03,-46.98,53.86
5300,1096,-66.46,-59.01,50.99
5400,2866,-70.47,-64.17,49.27
5500,2496,-72.77,-79.07,46.41
5600,2747,-73.91,-90.53,45.26
5700,4203,-77.35,-112.87,40.68
5800,4587,-80.79,-119.75,39.53
5900,4408,-80.79,-120.32,40.68
6000,2071,-80.79,-114.59,40.68
6100,3758,-77.92,-99.12,42.4
6200,4275,-75.63,-91.1,44.69
6300,2554,-72.19,-81.93,47.56
6400,3188,-67.04,-65.32,50.99
6500,2011,-64.17,-55.58,52.71
6600,2034,-61.31,-45.26,53.86
6700,1486,-57.87,-35.52,55.58
6800,1570,-56.15,-30.94,55.0
6900,1561,-57.3,-33.23,55.0
7000,1790,-61.31,-45.26,52.14
7100,1824,-63.03,-52.71,51.57
7200,2178,-66.46,-63.6,50.42
7300,2128,-68.18,-77.35,49.85
7400,1503,-69.9,-91.67,48.7
7500,2959,-72.19,-102.56,48.13
7600,3441,-77.35,-117.46,43.54
7700,1989,-77.92,-121.47,42.4
7800,1314,-77.35,-117.46,41.83
7900,1677,-74.48,-104.85,42.97
8000,1677,-74.48,-104.85,42.97
8100,2393,-66.46,-72.77,48.7
8200,2059,-63.6,-60.73,49.27
8300,2379,-61.31,-52.14,49.85
8400,2151,-61.31,-49.27,50.42
8500,677,-57.3,-40.11,51.57
8600,1497,-57.3,-38.39,52.14
8700,1974,-61.31,-53.29,49.27
8800,835,-64.17,-65.32,48.7
8900,2505,-67.61,-75.63,48.13
9000,2400,-68.75,-81.36,48.13
9100,2672,-71.62,-96.26,46.98
9200,2498,-75.06,-103.71,45.26
9300,3538,-79.07,-115.74,43.54
9400,3703,-80.21,-117.46,43.54
9500,3667,-80.21,-115.16,43.54
9600,2964,-77.35,-103.13,43.54
9700,2448,-75.63,-96.26,44.69
9800,1762,-73.34,-79.64,48.7
9900,1552,-69.9,-50.42,55.0
10000,2227,-64.74,-36.67,57.3
10100,1758,-64.17,-34.38,57.3
10200,1741,-58.44,-32.09,56.15
10300,1741,-58.44,-32.09,56.15
10400,1772,-59.01,-32.66,56.15
10500,1262,-64.17,-44.12,55.0
10600,856,-69.33,-55.0,53.29
10700,1502,-72.19,-60.73,52.14
10800,2220,-73.34,-88.24,50.99
10900,2229,-75.63,-104.85,49.27
11000,2404,-77.92,-108.29,47.56
11100,1980,-82.51,-116.31,43.54
11200,1640,-86.52,-118.03,41.25
11300,3078,-86.52,-118.03,40.68
11400,1502,-84.8,-108.29,41.83
11500,1259,-77.35,-81.93,45.84
11600,2192,-73.91,-63.03,49.27
11700,2852,-70.47,-47.56,52.71
11800,1454,-65.32,-35.52,55.0
11900,1307,-64.17,-33.23,55.0
12000,1389,-60.16,-27.5,55.0
12100,1910,-60.73,-28.07,55.0
12200,2048,-64.74,-32.09,54.43
12300,2139,-71.62,-49.27,52.14
12400,2094,-73.34,-67.61,50.42
12500,2930,-72.77,-81.36,49.85
12600,4045,-72.19,-98.55,49.85
12700,1696,-74.48,-116.31,46.41
12800,2738,-76.2,-122.04,44.12
12900,3269,-76.78,-120.89,43.54
13000,3292,-74.48,-109.43,43.54
13100,2378,-72.77,-96.26,45.26
13200,3089,-72.19,-68.75,48.7
13300,1839,-70.47,-48.13,51.57
13400,1696,-67.04,-38.39,53.29
13500,1269,-65.32,-36.67,53.29
13600,2418,-61.31,-31.51,54.43
13700,1422,-61.88,-34.38,53.86
13800,2016,-65.89,-49.85,50.99
13900,2139,-69.33,-64.74,48.13
14000,2169,-71.05,-72.77,46.98
14100,1300,-75.06,-88.24,45.26
14200,1904,-76.2,-109.43,46.41
14300,2808,-79.07,-115.74,44.12
14400,4078,-83.08,-119.18,42.4
14500,3559,-81.36,-114.59,42.97
14600,1432,-77.35,-101.41,44.69
14700,2746,-74.48,-87.09,46.98
14800,3662,-71.62,-76.2,49.27
14900,1042,-67.04,-45.84,54.43
15000,2088,-64.17,-36.67,55.58
15100,2649,-61.88,-29.79,55.58
15200,1746,-61.31,-28.07,55.58
15300,1487,-62.45,-30.37,55.0
15400,1685,-64.17,-35.52,54.43
15500,2961,-67.61,-51.57,52.14
15600,1777,-68.75,-61.31,51.57
15700,3217,-68.75,-75.06,50.42
15800,2832,-70.47,-89.38,48.7
15900,2413,-73.34,-99.69,46.41
16000,1592,-76.78,-107.14,44.69
16100,1708,-77.92,-111.15,43.54
16200,3281,-77.35,-112.3,43.54
16300,2231,-76.78,-98.55,44.69
16400,2230,-72.77,-75.63,49.85
16500,1723,-72.77,-69.33,50.99
16600,2577,-69.33,-42.97,55.58
16700,1679,-66.46,-37.24,56.15
16800,1679,-66.46,-37.24,56.15
16900,1453,-63.6,-33.23,56.72
17000,1101,-63.6,-33.23,56.72
17100,1101,-63.6,-33.23,56.72
17200,1940,-69.33,-63.6,52.14
17300,2483,-72.77,-78.5,50.99
17400,1599,-74.48,-87.09,49.27
17500,1305,-75.63,-96.26,48.13
17600,1931,-77.35,-101.99,46.41
17700,3245,-78.5,-110.01,43.54
17800,2173,-79.07,-117.46,40.68
17900,3185,-79.07,-117.46,40.68
18000,1342,-77.35,-106.57,41.83
18100,2375,-76.2,-93.97,43.54
18200,2416,-74.48,-84.22,45.84
18300,1796,-72.19,-64.74,49.27
18400,1923,-69.9,-52.14,51.57
18500,1720,-67.61,-44.69,53.29
18600,1453,-64.74,-38.96,53.86
18700,1437,-64.17,-37.24,53.86
18800,458,-64.17,-35.52,53.86
18900,1983,-66.46,-48.7,52.14
19000,1855,-69.9,-66.46,49.85
19100,2268,-70.47,-78.5,49.85
19200,2630,-74.48,-91.67,48.7
19300,2085,-78.5,-99.69,45.84
19400,1469,-79.64,-105.42,44.12
19500,3807,-80.79,-108.86,42.97
19600,3972,-79.64,-115.16,41.25
19700,2942,-79.07,-114.02,41.25
19800,2602,-76.78,-99.69,42.4
19900,2501,-71.62,-79.64,45.84
20000,1907,-70.47,-64.17,48.7
20100,2181,-68.75,-52.14,50.42
20200,1715,-68.18,-46.98,50.42
20300,1591,-66.46,-40.68,50.99
20400,492,-65.32,-36.67,50.99
20500,858,-66.46,-37.24,50.42
20600,1509,-68.75,-46.98,49.27
20700,1973,-71.62,-52.71,48.7
20800,1904,-72.77,-66.46,47.56
20900,2973,-71.05,-77.35,47.56
21000,3028,-72.77,-88.81,46.98
21100,1456,-76.78,-95.68,44.69
21200,4152,-79.64,-100.27,43.54
21300,1528,-85.37,-107.14,41.25
21400,1693,-84.8,-106.57,41.83
21500,2323,-82.51,-100.27,42.97
21600,3192,-79.07,-82.51,44.69
21700,2883,-77.92,-67.04,46.41
21800,1450,-76.78,-56.15,47.56
21900,737,-75.06,-45.26,48.13
22000,1625,-70.47,-37.82,48.7
22100,1651,-68.75,-35.52,48.7
22200,1504,-68.18,-37.24,48.7
22300,1554,-75.06,-42.97,47.56
22400,1902,-77.92,-52.71,46.98
22500,1872,-81.36,-63.6,47.56
22600,1562,-83.65,-85.37,48.13
22700,2206,-85.94,-92.25,47.56
22800,2608,-87.66,-93.97,46.98
22900,1054,-86.52,-93.39,46.41
23000,1616,-85.37,-89.95,46.98
23100,2017,-77.92,-85.37,49.27
23200,1749,-73.34,-60.16,52.71
23300,2078,-70.47,-45.26,55.0
23400,1386,-64.74,-36.67,55.0
23500,1271,-61.88,-33.8,54.43
23600,1732,-62.45,-32.66,53.86
23700,1983,-65.89,-32.66,54.43
23800,1556,-69.33,-42.4,53.29
23900,1538,-76.2,-61.31,51.57
24000,1585,-76.78,-77.92,50.99
24100,1544,-77.35,-93.39,50.99
24200,1552,-78.5,-101.99,48.7
24300,1609,-80.21,-107.72,46.98
24400,3178,-80.79,-112.87,45.26
24500,1676,-80.79,-114.59,44.69
24600,1056,-79.64,-115.16,44.69
24700,3307,-77.92,-103.13,45.26
24800,2285,-73.91,-77.35,48.13
24900,1628,-74.48,-57.87,50.42
25000,1560,-72.19,-44.12,52.14
25100,1528,-67.61,-36.1,50.99
25200,684,-67.04,-34.95,50.42
25300,1299,-67.04,-34.95,50.42
25400,976,-69.9,-36.67,50.99
25500,834,-71.62,-42.97,50.99
25600,834,-71.62,-42.97,50.99
25700,1640,-76.2,-79.07,50.99
25800,1804,-77.92,-100.84,53.86
25900,1078,-80.79,-108.29,52.71
26000,2227,-82.51,-111.15,51.57
26100,1692,-84.22,-114.02,48.7
26200,1692,-84.22,-114.02,48.7
26300,914,-82.51,-93.97,47.56
26400,951,-81.93,-83.08,48.13
26500,2060,-83.08,-75.06,48.13
26600,1162,-83.08,-60.16,49.85
26700,2018,-80.79,-47.56,50.99
26800,1846,-78.5,-40.68,51.57
26900,1971,-77.35,-36.67,52.14
27000,1438,-75.63,-36.67,52.14
27100,927,-77.35,-40.11,52.14
27200,1780,-79.07,-48.13,51.57
27300,2502,-79.07,-48.7,50.99
27400,1711,-80.79,-67.04,50.42
27500,1262,-79.07,-77.35,50.42
27600,1545,-79.64,-94.54,50.42
27700,2954,-80.79,-103.71,49.85
27800,2253,-81.93,-106.57,49.27
27900,1214,-83.08,-106.0,48.7
28000,2206,-82.51,-105.42,48.7
28100,3093,-82.51,-105.42,48.7
28200,2072,-82.51,-105.42,48.7
