Time,EMG_value,Yaw,Roll,Pitch
0,76,-175.33,-127.2,99.12
100,48,-175.33,-127.2,99.12
200,94,-175.33,-127.2,99.12
300,52,-175.33,-127.2,99.69
400,88,-175.9,-127.77,99.69
500,44,-174.75,-127.77,99.69
600,133,-175.33,-127.2,100.27
700,73,-175.33,-127.2,100.84
800,86,-175.33,-127.2,100.84
900,17,-175.33,-127.2,100.84
1000,103,-175.33,-127.2,100.84
1100,108,-175.33,-127.77,100.84
1200,88,-175.33,-127.77,100.84
1300,29,-175.33,-127.77,100.84
1400,59,-174.75,-127.2,101.41
1500,29,-174.75,-127.77,101.41
1600,85,-174.75,-126.62,101.99
1700,84,-174.18,-127.2,102.56
1800,82,-174.18,-127.2,102.56
1900,50,-174.18,-127.2,102.56
2000,45,-174.18,-127.2,102.56
2100,57,-174.18,-127.2,102.56
2200,41,-174.75,-127.2,102.56
2300,86,-174.75,-127.2,102.56
2400,77,-174.75,-127.2,102.56
2500,100,-174.75,-127.77,102.56
2600,56,-174.75,-127.77,103.13
2700,538,-174.18,-128.92,102.56
2800,115,-174.18,-128.92,103.13
2900,1144,-171.89,-129.49,101.99
3000,445,-171.31,-130.06,101.41
3100,981,-171.31,-130.06,100.84
3200,593,-171.31,-130.06,101.41
3300,600,-171.31,-129.49,101.99
3400,76,-171.89,-129.49,101.99
3500,34,-172.46,-128.92,102.56
3600,42,-174.18,-128.92,103.13
3700,30,-174.75,-128.92,104.28
3800,45,-174.18,-130.06,104.28
3900,61,-174.18,-129.49,105.42
4000,49,-174.18,-130.06,105.42
4100,105,-174.18,-130.06,105.42
4200,105,-174.18,-130.06,105.42
4300,31,-174.18,-130.06,105.42
4400,25,-174.18,-130.06,105.42
4500,79,-174.18,-130.06,105.42
4600,275,-174.75,-131.21,105.42
4700,83,-173.61,-131.78,104.85
4800,205,-173.03,-131.21,104.85
4900,842,-172.46,-132.35,104.85
5000,1106,-172.46,-134.07,105.42
5100,218,-172.46,-134.07,104.85
5200,219,-172.46,-134.07,105.42
5300,89,-172.46,-134.07,105.42
5400,89,-174.18,-134.07,105.42
5500,16,-175.33,-133.5,107.14
5600,95,-175.33,-134.65,106.57
5700,24,-175.33,-134.65,107.14
5800,86,-175.33,-134.65,107.14
5900,96,-175.33,-135.22,107.72
7000,662,-173.61,-134.65,106.57
7100,428,-173.61,-134.65,106.57
7200,156,-173.61,-134.65,106.57
7300,72,-173.61,-134.65,107.14
7400,91,-174.18,-134.07,108.29
7500,37,-175.33,-135.22,108.86
7600,95,-175.33,-135.79,109.43
7700,37,-175.9,-135.79,110.58
7800,43,-175.9,-135.79,110.58
7900,61,-175.9,-136.36,110.01
8000,166,-175.33,-136.94,110.58
8100,29,-175.33,-136.94,110.58
8200,29,-175.33,-136.94,110.58
8300,608,-174.75,-136.94,109.43
8400,1231,-173.61,-135.79,108.86
8500,532,-173.03,-135.79,109.43
8600,406,-173.03,-135.79,109.43
8700,186,-173.03,-135.79,109.43
8800,95,-173.61,-135.79,108.86
8900,48,-175.9,-134.65,110.58
9000,63,-175.33,-135.22,111.15
9100,82,-175.9,-135.79,111.73
9200,68,-175.9,-136.36,111.73
9300,114,-175.9,-136.36,112.3
9400,45,-175.9,-136.36,112.3
9500,27,-175.9,-136.36,112.3
9600,27,-175.9,-136.36,112.3
9700,66,-175.9,-136.36,112.3
9800,69,-176.47,-135.79,112.87
9900,57,-176.47,-136.36,112.3
10000,71,-175.9,-136.94,112.87
10100,1147,-174.75,-138.66,111.73
10200,448,-173.61,-136.94,111.15
10300,563,-172.46,-135.79,111.15
10400,1603,-172.46,-135.79,111.15
10500,271,-172.46,-135.79,111.15
10600,79,-173.61,-136.94,111.15
10700,95,-174.75,-135.79,112.3
10800,42,-175.9,-136.94,112.87
10900,10,-175.9,-136.94,113.45
11000,117,-176.47,-136.94,114.02
11100,30,-175.9,-137.51,114.59
11200,37,-175.9,-137.51,114.59
11300,36,-175.9,-137.51,114.59
11400,36,-175.9,-137.51,114.59
11500,85,-175.9,-137.51,114.59
11600,23,-175.9,-137.51,114.59
11700,29,-175.9,-137.51,114.59
11800,804,-174.75,-138.66,114.02
11900,303,-174.18,-137.51,113.45
12000,456,-173.03,-136.94,113.45
12100,460,-173.03,-136.94,113.45
12200,350,-173.03,-136.94,113.45
12300,244,-173.03,-136.94,113.45
12400,65,-174.18,-138.66,112.87
12500,78,-174.75,-138.08,114.59
12600,40,-175.33,-137.51,116.31
12700,32,-176.47,-138.66,116.88
12800,50,-176.47,-138.66,116.88
12900,111,-176.47,-139.23,117.46
13000,73,-176.47,-139.23,118.03
13100,129,-176.47,-139.23,118.03
13200,76,-176.47,-139.8,118.03
13300,195,-176.47,-140.37,117.46
13400,590,-174.18,-138.66,115.16
13500,370,-173.61,-138.66,116.31
13600,370,-173.61,-138.66,116.31
13700,364,-173.03,-138.66,115.16
13800,1444,-173.03,-138.08,115.74
13900,138,-173.03,-138.66,116.31
14000,191,-174.18,-139.23,116.31
14100,153,-174.18,-139.23,116.31
14200,60,-174.18,-139.23,116.31
14300,38,-176.47,-138.08,117.46
14400,94,-176.47,-138.66,119.18
14500,108,-177.04,-139.8,119.18
14600,40,-177.04,-139.8,119.75
14700,40,-177.04,-139.8,119.75
14800,58,-177.62,-140.95,120.32
14900,495,-177.04,-142.67,119.75
15000,351,-175.9,-141.52,118.6
15100,612,-175.33,-140.37,120.89
15200,361,-174.75,-143.24,122.04
15300,1147,-174.75,-141.52,121.47
15400,700,-174.75,-140.95,122.04
15500,370,-174.75,-140.95,122.04
