Time,EMG_value,Yaw,Roll,Pitch
0,186,-122.61,-134.07,114.59
100,80,-122.61,-134.07,114.59
200,47,-122.61,-134.07,114.59
300,173,-122.61,-134.07,114.59
400,44,-122.61,-134.07,114.59
500,123,-122.61,-134.07,114.59
600,122,-122.61,-134.07,114.59
700,52,-122.04,-132.93,114.59
800,22,-122.61,-132.35,115.74
900,43,-122.04,-132.93,116.88
1000,136,-122.61,-132.93,117.46
1100,124,-122.61,-132.93,117.46
1200,71,-122.61,-132.93,118.03
1300,131,-122.61,-132.93,118.03
1400,61,-123.19,-133.5,118.6
1500,67,-123.19,-133.5,118.6
1600,53,-122.61,-133.5,119.18
1700,153,-122.61,-133.5,119.18
1800,47,-122.61,-133.5,119.18
1900,47,-122.61,-133.5,119.18
2000,524,-118.03,-136.36,119.18
2100,145,-120.32,-136.94,120.89
2200,473,-120.89,-136.94,122.04
2300,242,-120.89,-136.36,123.19
2400,393,-121.47,-136.94,123.19
2500,253,-121.47,-136.94,123.19
2600,215,-120.89,-136.36,123.19
2700,272,-120.89,-137.51,122.61
2800,388,-120.89,-136.36,122.61
2900,141,-120.89,-136.36,122.61
3000,64,-122.61,-133.5,122.04
3100,212,-122.61,-132.93,123.19
3200,130,-122.61,-131.78,124.33
3300,51,-122.61,-131.78,124.33
3400,34,-121.47,-131.21,124.33
3500,146,-122.61,-131.21,123.76
3600,78,-122.61,-131.21,123.76
3700,176,-122.61,-131.21,123.76
3800,40,-122.61,-131.21,123.76
3900,25,-122.61,-131.21,123.76
4000,49,-122.61,-131.21,123.76
4100,85,-122.61,-131.21,123.76
4200,70,-122.61,-131.21,123.76
4300,51,-121.47,-131.78,123.76
4400,365,-116.88,-134.07,122.61
4500,446,-119.18,-135.79,122.61
4600,396,-119.75,-134.65,122.04
4700,454,-120.89,-134.65,121.47
4800,443,-121.47,-135.79,122.04
4900,453,-121.47,-136.36,122.04
5000,518,-121.47,-136.36,122.04
5100,141,-121.47,-136.36,122.04
5200,558,-121.47,-136.36,122.04
5300,142,-121.47,-136.36,122.04
5400,275,-123.19,-135.22,121.47
5500,116,-123.19,-134.07,122.61
5600,116,-123.19,-134.07,122.61
5700,116,-123.19,-134.07,122.61
5800,80,-122.61,-130.63,125.48
5900,85,-122.04,-130.06,126.05
6000,176,-122.04,-130.06,126.05
6100,160,-122.04,-130.06,126.05
6200,51,-122.04,-130.06,126.05
6300,51,-122.04,-130.06,126.05
6400,92,-122.04,-130.06,126.62
6500,74,-122.04,-130.06,126.05
6600,161,-121.47,-129.49,126.05
6700,36,-120.32,-130.06,125.48
6800,102,-120.32,-130.06,125.48
6900,451,-117.46,-134.07,124.9
7000,421,-119.75,-134.65,124.33
7100,412,-119.75,-134.65,124.33
7200,222,-120.89,-135.22,123.76
7300,336,-120.89,-135.79,123.76
7400,698,-120.89,-135.79,123.76
7500,338,-120.89,-135.79,123.76
7600,329,-121.47,-135.79,123.76
7700,574,-121.47,-136.36,124.33
7800,120,-120.32,-135.79,124.33
7900,1142,-122.04,-135.22,123.76
8000,42,-122.04,-132.93,123.19
