Time,EMG_value,Yaw,Roll,Pitch
0,102,91.67,-151.26,93.97
100,75,91.1,-151.26,94.54
200,108,92.25,-151.26,95.11
300,110,91.67,-151.26,96.26
400,127,91.67,-151.26,96.26
500,76,91.1,-151.26,96.83
600,118,91.1,-151.26,96.83
700,59,91.1,-152.41,97.4
800,136,90.53,-152.98,97.98
900,39,90.53,-152.98,97.98
1000,39,90.53,-152.98,97.98
1100,68,90.53,-152.41,97.98
1200,171,90.53,-151.26,97.98
1300,63,89.95,-150.69,99.12
1400,54,89.38,-150.69,100.84
1500,122,89.95,-150.11,101.99
1600,42,88.24,-150.69,104.28
1700,136,87.09,-151.83,104.85
1800,328,59.01,174.18,104.85
1900,61,30.94,147.25,89.38
2000,148,12.61,143.81,76.78
2100,156,-2.29,152.98,68.75
2200,336,-3.44,153.55,66.46
2300,172,5.73,148.97,73.91
2400,50,28.65,151.26,96.83
2500,84,55.0,174.18,114.02
2600,227,75.63,-162.72,118.6
2700,48,88.81,-147.25,118.6
2800,135,93.39,-142.09,118.03
2900,110,96.83,-139.23,117.46
3000,82,96.83,-138.66,118.03
3100,62,97.4,-138.08,118.6
3200,75,97.4,-138.08,119.18
3300,88,96.83,-138.08,120.32
3400,89,96.83,-139.23,120.32
3500,45,88.24,-148.97,120.89
3600,57,80.79,-158.14,119.75
3700,73,49.85,162.15,106.0
3800,46,32.09,146.68,91.67
3900,173,13.18,142.09,69.9
4000,144,6.3,144.96,65.89
4100,202,1.15,148.97,61.88
4200,91,6.88,143.24,67.04
4300,78,16.62,138.66,79.07
4400,310,40.11,149.54,108.29
4500,111,61.31,172.46,120.89
4600,40,77.35,-167.3,124.9
4700,90,97.4,-143.24,121.47
4800,140,104.28,-136.36,112.87
4900,48,104.85,-137.51,111.73
5000,172,103.71,-138.66,111.15
5100,49,102.56,-139.8,111.73
5200,49,102.56,-139.8,111.73
5300,118,101.41,-140.37,113.45
5400,100,91.67,-156.42,116.31
5500,81,69.9,170.17,111.15
5600,142,48.7,142.09,97.98
5700,80,37.82,132.35,88.81
5800,156,16.62,130.06,70.47
5900,114,8.02,136.94,66.46
6000,41,8.59,138.08,67.04
6100,46,18.33,133.5,77.35
6200,122,26.36,132.93,88.81
6300,41,66.46,174.75,120.89
6400,168,85.37,-159.86,122.04
6500,42,93.39,-150.11,119.18
6600,102,96.26,-146.1,119.18
6700,92,99.69,-142.09,119.18
6800,168,98.55,-142.09,119.75
6900,44,98.55,-142.09,119.75
7000,35,97.98,-142.67,120.32
7100,78,97.98,-142.09,120.32
7200,128,96.83,-143.81,121.47
7300,120,91.1,-152.41,122.04
7400,81,63.03,167.3,115.16
7500,37,42.4,140.95,100.84
7600,81,26.36,128.34,79.07
7700,73,17.19,128.92,69.9
7800,59,12.61,134.07,68.18
7900,207,12.61,134.65,68.75
8000,193,19.48,132.35,72.77
8100,156,24.06,131.21,79.07
8200,253,40.11,138.66,103.13
8300,121,71.05,173.61,123.19
8400,176,89.38,-163.87,122.04
8500,34,103.13,-146.1,114.59
8600,133,104.85,-143.24,111.73
8700,123,107.14,-140.95,110.58
8800,106,105.42,-141.52,111.73
8900,93,104.85,-141.52,112.3
9000,96,103.71,-143.24,115.16
9100,161,86.52,-167.3,119.18
9200,133,69.9,170.74,117.46
9300,37,43.54,140.37,103.71
9400,70,25.21,129.49,83.65
9500,69,22.35,129.49,79.64
9600,230,12.61,137.51,68.18
9700,148,14.9,135.22,71.05
9800,223,27.5,134.07,90.53
9900,313,45.84,146.68,111.15
10000,87,59.01,160.43,119.75
10100,95,91.1,-161.57,125.48
10200,141,100.27,-153.55,121.47
10300,103,104.85,-150.11,118.6
10400,103,104.85,-150.11,118.6
10500,135,105.42,-148.97,117.46
10600,123,105.42,-149.54,117.46
10700,217,103.13,-152.41,119.18
10800,105,90.53,-170.17,120.89
10900,218,71.05,161.57,116.88
11000,155,44.12,131.78,106.57
11100,218,22.92,120.32,89.38
11200,308,14.32,119.75,81.36
11300,231,10.89,123.19,76.78
11400,82,14.32,122.04,80.21
11500,172,28.07,123.19,95.68
11600,51,49.85,142.09,115.16
11700,111,77.92,177.62,123.76
11800,111,77.92,177.62,123.76
11900,132,102.56,-150.69,114.02
12000,522,105.42,-145.53,112.3
12100,84,105.42,-144.39,113.45
12200,126,104.85,-144.39,114.02
12300,266,103.71,-146.1,115.74
12400,138,97.4,-158.71,120.32
12500,134,69.33,156.42,120.89
12600,396,41.25,122.04,108.86
12700,280,22.92,107.72,92.82
12800,300,8.02,101.99,75.63
