Time,EMG_value,Yaw,Roll,Pitch
0,83,88.81,-154.7,102.56
100,111,87.66,-151.26,103.71
200,204,86.52,-146.1,104.28
300,83,87.66,-140.95,105.42
400,105,89.38,-134.65,106.0
500,60,88.24,-134.65,106.57
600,27,88.24,-134.65,106.57
700,32,88.24,-135.22,106.57
800,49,88.24,-135.22,106.57
900,36,88.81,-135.22,107.72
1000,31,88.81,-134.65,107.72
1100,51,88.24,-134.65,108.29
1200,23,88.24,-134.65,108.29
1300,34,88.24,-135.22,108.86
1400,63,87.66,-136.36,110.01
1500,79,88.24,-140.95,110.58
1600,102,88.24,-148.97,111.15
1700,77,87.66,-173.03,112.3
1800,80,93.39,166.73,108.86
1900,80,93.39,166.73,108.86
2000,25,111.15,160.43,99.12
2100,114,127.77,162.72,88.81
2200,45,139.8,165.58,81.93
2300,73,145.53,168.45,77.92
2400,151,146.68,169.02,78.5
2500,101,136.36,170.74,88.24
2600,129,121.47,166.73,103.13
2700,109,97.98,156.42,120.32
2800,59,83.08,150.11,127.77
2900,50,64.17,144.39,136.94
3000,41,64.74,153.55,141.52
3100,123,76.78,174.18,143.24
3200,67,95.11,-153.55,142.09
3300,22,105.42,-114.59,135.79
3400,22,105.42,-114.59,135.79
3500,36,103.13,-107.14,127.2
3600,67,99.12,-108.86,122.61
3700,55,99.12,-108.86,122.04
3800,33,98.55,-108.86,120.32
3900,67,98.55,-108.86,120.32
4000,47,97.4,-109.43,119.18
4100,34,96.26,-110.58,118.03
4200,57,96.26,-110.58,118.03
4300,27,97.4,-110.01,118.6
4400,49,97.4,-110.58,119.18
4500,53,97.98,-110.58,119.75
4600,15,97.98,-110.58,120.32
4700,19,97.98,-111.15,120.32
4800,26,97.4,-111.15,120.89
4900,31,97.4,-111.15,121.47
5000,15,97.4,-111.73,121.47
5100,243,97.98,-112.87,123.19
5200,188,97.4,-122.61,125.48
5300,234,96.83,-142.67,127.77
5400,302,93.39,-152.98,128.34
5500,53,85.37,154.7,113.45
5600,42,96.83,154.7,108.86
5700,37,110.01,157.56,103.71
5800,65,124.33,161.0,97.98
5900,53,140.37,165.01,88.81
6000,66,148.97,165.58,81.36
6100,109,157.56,166.16,72.77
6200,80,159.86,166.73,70.47
6300,60,151.26,169.6,75.63
6400,60,151.26,169.6,75.63
6500,24,120.32,167.3,106.0
6600,52,103.71,161.57,119.18
6700,71,84.22,155.84,132.35
6800,170,76.2,156.42,138.08
6900,48,75.63,170.74,143.81
7000,108,75.63,172.46,144.39
7100,60,79.64,-171.31,142.09
7200,96,89.38,-138.66,135.79
7300,59,91.1,-127.2,133.5
7400,91,93.97,-114.02,126.05
7500,15,93.39,-112.3,122.61
7600,105,91.1,-112.87,121.47
7700,24,91.1,-113.45,121.47
7800,72,91.1,-113.45,122.61
7900,32,92.25,-112.87,122.61
8000,41,91.67,-113.45,122.61
8100,67,91.67,-112.87,122.61
8200,26,92.82,-112.87,123.76
8300,130,92.25,-113.45,124.9
8400,103,92.82,-125.48,128.34
8500,153,89.38,-146.68,130.63
8600,163,81.36,-173.03,129.49
8700,107,77.35,161.57,120.32
8800,225,85.37,150.69,112.87
8900,127,93.97,152.41,108.86
9000,80,111.73,159.28,102.56
9100,70,132.93,171.31,88.24
9200,91,144.39,173.61,77.35
9300,68,151.26,171.89,72.77
9400,21,147.82,174.75,76.2
9500,165,136.36,179.34,91.1
9600,76,124.33,-173.61,110.01
9700,103,115.16,-164.44,127.2
9800,109,108.86,-157.56,135.79
9900,191,95.11,-142.09,147.25
10000,40,95.68,-133.5,147.82
10100,85,96.26,-114.59,149.54
10200,79,96.83,-112.3,147.25
10300,75,95.11,-112.87,147.25
10400,18,95.11,-113.45,146.1
10500,70,93.97,-114.59,146.1
10600,100,92.82,-114.59,144.39
10700,174,92.82,-114.59,144.39
10800,27,93.39,-113.45,143.81
10900,62,93.97,-112.87,143.81
11000,118,91.1,-128.92,140.95
11100,479,77.35,-167.3,139.23
11200,181,66.46,166.16,128.92
11300,215,72.19,165.01,123.19
11400,53,91.67,170.17,115.74
11500,75,110.58,177.04,108.86
11600,79,130.63,179.34,91.1
11700,43,145.53,177.62,73.91
11800,68,152.98,172.46,67.61
11900,120,150.69,173.61,69.33
12000,98,138.66,177.62,82.51
12100,330,125.48,178.19,99.12
12200,301,96.83,168.45,123.19
12300,115,73.91,156.42,130.06
12400,76,52.71,153.55,139.8
12500,16,57.3,178.19,143.24
12600,89,69.9,-152.41,142.67
12700,76,76.2,-136.36,141.52
12800,66,87.66,-119.18,137.51
12900,97,87.09,-118.6,134.65
13000,43,85.94,-120.32,134.65
13100,29,84.8,-121.47,133.5
13200,38,83.65,-122.61,131.78
13300,76,82.51,-123.19,130.63
13400,37,81.93,-123.76,128.34
13500,76,81.93,-124.33,127.2
13600,59,82.51,-124.9,126.05
13700,81,81.36,-125.48,125.48
13800,28,81.36,-125.48,124.9
13900,195,81.36,-126.05,124.9
14000,80,80.21,-132.35,124.33
14100,208,79.64,-146.1,124.9
14200,154,69.9,-176.47,126.62
14300,185,64.74,162.15,119.75
14400,217,79.64,155.84,111.73
14500,56,92.25,158.71,108.29
14600,33,118.6,166.16,96.26
14700,114,140.95,167.3,77.92
14800,114,140.95,167.3,77.92
14900,60,149.54,167.3,74.48
15000,115,128.92,171.89,96.26
15100,84,117.46,171.31,108.86
15200,174,97.98,169.02,127.77
15300,78,64.17,156.42,141.52
15400,36,56.72,159.28,144.96
15500,67,66.46,-179.34,146.1
15600,95,88.24,-134.07,144.39
15700,41,96.26,-111.15,143.24
15800,32,97.98,-103.71,140.95
15900,83,92.25,-102.56,139.8
16000,60,89.95,-101.41,138.66
16100,136,85.94,-101.41,136.36
16200,60,84.22,-102.56,134.65
16300,33,83.65,-103.13,134.65
16400,72,84.22,-106.57,133.5
16500,56,84.8,-107.72,133.5
16600,69,82.51,-119.18,132.35
16700,421,79.64,-145.53,127.2
16800,286,60.16,158.71,123.19
16900,85,59.59,149.54,118.03
17000,132,80.79,158.14,114.02
17100,89,105.42,162.72,105.42
17200,15,130.06,165.58,88.81
17300,182,131.21,165.58,88.24
17400,58,150.11,159.28,72.77
17500,144,147.82,159.28,74.48
17600,92,134.65,165.58,82.51
17700,111,106.0,165.01,103.71
17800,21,88.81,163.29,114.59
17900,124,71.62,174.18,128.34
18000,37,72.19,-152.41,133.5
18100,152,78.5,-123.19,136.36
18200,41,82.51,-109.43,136.36
18300,101,81.93,-107.72,132.35
18400,32,82.51,-108.29,130.06
18500,69,81.93,-109.43,129.49
18600,117,82.51,-109.43,128.34
18700,49,82.51,-109.43,127.77
18800,133,81.93,-110.58,128.34
18900,106,82.51,-111.15,128.34
19000,178,76.2,-133.5,126.62
19100,262,68.18,-163.29,123.76
19200,28,73.91,168.45,115.74
19300,125,89.95,167.88,110.01
19400,60,112.87,169.02,96.26
19500,97,133.5,168.45,77.92
19600,93,137.51,167.88,75.06
19700,262,135.79,169.02,75.63
19800,117,112.3,169.6,97.98
19900,230,92.82,166.73,114.02
20000,67,81.93,163.87,121.47
20100,69,57.87,176.47,130.63
20200,459,57.3,-171.31,132.93
20300,215,65.32,-137.51,132.35
20400,90,72.77,-119.18,128.92
20500,138,74.48,-116.88,127.77
20600,47,75.63,-116.31,125.48
20700,30,75.63,-116.88,124.33
20800,36,75.63,-117.46,124.33
20900,52,75.63,-117.46,123.19
21000,83,75.63,-118.03,122.04
21100,144,74.48,-121.47,122.61
21200,395,72.77,-130.06,122.04
21300,262,55.58,177.62,123.19
21400,64,52.71,155.27,117.46
21500,199,69.9,157.56,115.16
21600,116,100.27,168.45,104.28
21700,90,118.6,173.03,89.38
21800,158,134.65,168.45,76.2
21900,95,140.95,162.72,71.62
22000,57,135.79,165.01,75.63
22100,163,122.61,165.58,88.24
22200,80,96.26,162.15,105.42
22300,89,70.47,155.84,111.15
22400,56,68.18,155.84,111.73
