Time,EMG_value,Yaw,Roll,Pitch
0,40,96.83,-140.37,101.99
100,76,96.26,-140.95,102.56
200,106,96.26,-140.95,103.71
300,78,96.26,-140.95,103.71
400,25,96.26,-140.95,104.85
500,21,96.26,-140.95,104.85
600,98,96.26,-140.95,104.85
700,50,96.26,-140.95,105.42
800,65,96.26,-140.95,105.42
900,23,96.26,-140.95,105.42
1000,138,95.68,-140.95,106.0
1100,154,96.26,-140.95,106.57
1200,126,96.83,-140.95,106.57
1300,283,97.98,-140.37,105.42
1400,239,99.12,-140.37,106.0
1500,147,100.27,-144.96,108.29
1600,1593,95.11,178.19,113.45
1700,8,84.22,127.77,109.43
1800,18,83.08,115.16,106.57
1900,18,83.08,115.16,106.57
2000,896,90.53,162.15,112.3
2100,860,100.84,-143.24,111.73
2200,590,100.27,-128.34,108.86
2300,352,99.12,-124.9,107.72
2400,44,97.98,-124.9,107.14
2500,51,97.98,-125.48,107.14
2600,33,97.4,-125.48,107.14
2700,251,97.4,-126.05,107.14
2800,308,96.83,-126.62,107.72
2900,218,96.83,-126.62,108.86
3000,338,97.4,-126.62,108.86
3100,338,97.4,-126.62,108.86
3200,102,96.83,-127.2,110.01
3300,104,96.83,-127.2,110.01
3400,63,96.83,-127.77,110.58
3500,61,97.4,-128.34,111.15
3600,486,97.4,-128.34,111.15
3700,772,99.69,-143.81,112.3
3800,995,88.81,166.16,115.16
3900,879,83.08,130.63,112.87
4000,241,83.08,128.92,111.73
4100,364,83.08,134.65,112.3
4200,334,94.54,-160.43,114.02
4300,371,96.83,-143.81,113.45
4400,238,97.4,-120.32,112.87
4500,166,97.4,-116.31,111.15
4600,139,95.68,-116.88,111.15
4700,139,95.68,-116.88,111.15
4800,244,95.11,-118.6,111.15
4900,139,94.54,-119.75,111.73
5000,33,95.68,-119.75,112.3
5100,58,95.68,-120.32,112.3
5200,165,95.68,-120.89,112.3
5300,20,96.26,-120.89,113.45
5400,68,96.26,-120.89,113.45
5500,38,96.83,-120.89,113.45
5600,118,96.83,-120.89,113.45
5700,80,96.83,-120.89,114.59
5800,25,97.4,-120.89,114.59
5900,128,97.4,-120.89,115.74
6000,78,97.4,-124.33,116.31
6100,523,96.83,-144.39,116.88
6200,117,89.38,178.76,119.75
6300,497,78.5,131.78,116.88
6400,251,79.07,139.23,118.03
6500,169,88.81,-171.89,119.18
6600,270,94.54,-144.39,115.74
6700,247,96.26,-118.03,115.16
6800,114,96.26,-114.02,115.74
6900,148,96.26,-110.01,113.45
7000,22,95.11,-110.58,112.87
7100,56,95.11,-110.58,112.87
7200,103,95.11,-111.15,114.02
7300,56,95.68,-111.15,114.02
7400,97,95.68,-111.15,115.16
7500,37,95.68,-111.15,115.16
7600,184,96.83,-110.58,116.31
7700,78,96.26,-111.15,116.31
7800,55,96.26,-111.15,116.88
7900,51,96.26,-111.15,116.88
8000,103,96.26,-111.73,117.46
8100,61,96.26,-111.73,117.46
8200,63,97.4,-111.15,117.46
8300,65,96.83,-112.3,118.6
8400,195,97.4,-117.46,118.03
8500,117,93.97,-140.95,120.32
8600,393,79.07,151.26,123.19
8700,91,77.35,142.09,122.04
8800,114,79.07,149.54,124.33
8900,189,84.8,-178.76,124.33
9000,143,92.25,-146.1,121.47
9100,246,92.82,-134.07,119.75
9200,33,93.39,-116.31,120.32
9300,55,93.39,-108.86,119.18
9400,111,92.25,-109.43,119.18
9500,108,92.25,-110.01,119.18
9600,168,93.39,-110.01,119.75
9700,69,93.97,-110.01,120.89
9800,89,93.97,-110.58,121.47
9900,153,94.54,-110.58,123.19
10000,131,95.68,-110.58,123.19
10100,131,95.68,-110.58,123.19
10200,25,95.68,-110.58,123.19
10300,122,95.11,-110.58,124.33
10400,135,96.26,-110.58,124.33
10500,137,96.26,-111.73,124.9
10600,259,96.83,-120.32,126.05
10700,234,91.1,-152.98,129.49
10800,513,81.36,155.27,129.49
10900,187,79.64,148.97,130.63
11000,302,80.79,158.14,131.78
11100,211,88.24,-165.58,130.63
11200,205,92.25,-142.67,128.34
11300,127,93.39,-123.19,127.2
11400,153,92.82,-119.75,126.62
11500,108,93.97,-111.15,127.2
11600,182,93.97,-111.15,127.2
11700,98,94.54,-111.15,127.2
11800,31,94.54,-110.58,128.34
11900,111,94.54,-110.58,128.34
12000,24,94.54,-111.73,128.34
12100,24,94.54,-111.73,128.34
12200,85,95.11,-111.73,128.92
12300,84,95.11,-111.73,128.92
12400,73,95.11,-111.73,129.49
12500,106,95.11,-112.3,129.49
12600,18,95.68,-111.73,129.49
12700,65,95.68,-112.87,131.21
12800,107,96.26,-114.02,131.21
12900,100,96.26,-115.16,131.78
13000,327,95.68,-124.33,132.93
13100,192,88.24,-161.0,138.08
13200,354,76.78,150.11,136.94
13300,199,77.35,147.82,136.94
13400,311,81.36,165.58,138.66
13500,56,88.24,-167.3,136.36
13600,184,92.82,-137.51,133.5
13700,78,92.82,-128.92,133.5
13800,92,92.82,-119.18,131.78
13900,207,93.39,-117.46,131.78
14000,54,93.39,-118.03,131.78
