Time,EMG_value,Yaw,Roll,Pitch
0,288,-99.12,-121.47,71.05
100,81,-99.12,-121.47,70.47
200,197,-98.55,-121.47,68.75
300,45,-97.98,-124.9,68.75
400,45,-97.4,-125.48,68.75
500,182,-97.4,-125.48,68.18
600,94,-97.4,-125.48,68.18
700,140,-97.4,-126.62,69.33
800,164,-98.55,-128.34,69.33
900,164,-98.55,-128.34,69.33
1000,131,-99.12,-128.34,70.47
1100,139,-98.55,-128.34,69.9
1200,91,-98.55,-128.34,69.9
1300,101,-97.98,-128.34,68.18
1400,256,-97.4,-126.62,67.61
1500,194,-97.4,-127.77,68.18
1600,137,-97.4,-126.62,67.61
1700,98,-98.55,-119.75,71.05
1800,94,-96.83,-110.58,80.79
1900,286,-96.83,-108.29,97.4
2000,81,-95.68,-106.57,116.88
2100,27,-93.39,-104.85,130.06
2200,52,-85.37,-97.98,155.27
2300,97,-85.94,-98.55,162.72
2400,134,-85.94,-98.55,165.58
2500,138,-86.52,-98.55,166.73
2600,99,-89.95,-102.56,162.72
2700,113,-91.1,-103.13,147.25
2800,36,-92.82,-106.0,136.36
2900,233,-96.83,-110.01,96.26
3000,41,-95.11,-111.73,77.35
3100,140,-94.54,-111.73,69.33
3200,119,-93.97,-111.73,65.32
3300,207,-93.39,-112.87,63.6
3400,308,-93.97,-111.73,65.89
3500,78,-93.39,-110.01,73.34
3600,190,-95.11,-107.72,92.25
3700,215,-95.11,-105.42,106.0
3800,224,-92.82,-101.99,134.07
3900,233,-85.37,-94.54,155.84
4000,337,-80.21,-89.38,166.73
4100,153,-82.51,-90.53,170.74
4200,169,-85.94,-93.97,170.17
4300,51,-85.94,-93.97,168.45
4400,96,-85.37,-94.54,159.28
4500,102,-88.81,-100.84,140.37
4600,67,-91.1,-104.85,122.04
4700,224,-93.39,-110.58,94.54
4800,103,-92.82,-110.01,79.64
4900,162,-93.97,-110.01,75.06
5000,107,-93.97,-110.01,70.47
5100,238,-94.54,-110.01,66.46
5200,197,-93.97,-110.01,65.89
5300,38,-93.97,-110.01,65.89
5400,111,-94.54,-108.86,66.46
5500,83,-94.54,-108.86,66.46
5600,125,-94.54,-108.86,67.04
5700,146,-95.11,-107.72,67.04
5800,77,-95.11,-107.72,67.04
5900,40,-94.54,-107.72,66.46
6000,59,-94.54,-107.14,68.75
6100,37,-94.54,-106.0,76.2
6200,47,-93.97,-104.85,91.1
6300,139,-92.25,-101.99,116.88
6400,25,-90.53,-100.84,123.76
6500,63,-84.8,-95.68,144.96
6600,24,-57.87,-67.04,170.17
6700,109,-42.97,-52.14,173.61
6800,91,-42.97,-52.14,173.61
6900,31,-53.29,-62.45,171.89
7000,82,-65.89,-75.63,167.88
7100,139,-69.33,-79.07,164.44
7200,81,-84.8,-96.83,135.22
7300,66,-89.38,-103.13,116.31
7400,130,-91.67,-104.85,88.81
7500,111,-92.25,-106.57,72.77
7600,113,-93.39,-108.29,64.74
7700,166,-93.97,-108.29,61.88
7800,153,-93.97,-108.29,63.03
7900,342,-94.54,-107.72,64.17
8000,158,-94.54,-107.14,68.75
8100,269,-93.97,-103.71,83.65
8200,106,-93.97,-103.13,93.39
8300,7,-90.53,-99.69,127.2
8400,119,-88.24,-97.4,138.66
8500,71,-82.51,-91.67,152.98
8600,45,-77.92,-87.09,159.86
8700,297,-63.6,-72.19,169.6
8800,12,-61.31,-69.9,170.74
8900,58,-61.31,-69.9,170.74
9000,58,-61.31,-69.9,170.74
9100,58,-61.31,-69.9,170.74
9200,74,-83.65,-93.97,146.1
9300,69,-89.95,-101.41,125.48
9400,69,-89.95,-101.41,125.48
9500,181,-92.25,-107.72,88.24
9600,146,-92.82,-108.29,71.05
9700,111,-92.82,-108.29,68.18
